net,length_um
s_araddr[40],40.955µm
net594,40.86µm
s_awaddr[58],40.7µm
s_rdata[32],40.665µm
net417,40.51µm
s_awaddr[92],40.44µm
net834,40.37µm
net217,40.34µm
net77,40.32µm
net115,40.32µm
s_rdata[117],40.295µm
s_rdata[3],40.21µm
net444,40.2µm
m_araddr[3],39.995µm
s_rresp[3],39.875µm
s_wdata[58],39.875µm
s_wdata[97],39.765µm
s_wvalid[2],39.74µm
net94,39.67µm
net817,39.585µm
net41,39.575µm
s_awaddr[98],39.54µm
net668,39.535µm
s_wstrb[9],39.395µm
net114,39.37µm
s_wdata[54],39.36µm
s_wdata[125],39.335µm
s_wdata[42],39.26µm
net577,39.24µm
_0142_,39.13µm
net266,39.13µm
s_araddr[67],39.115µm
s_awaddr[127],39.06µm
m_araddr[28],39.035µm
s_wready[2],38.975µm
net165,38.89µm
s_awaddr[51],38.88µm
s_rvalid[2],38.865µm
s_wdata[14],38.855µm
net228,38.82µm
s_wdata[7],38.745µm
s_awaddr[42],38.555µm
s_wdata[80],38.515µm
s_rdata[87],38.495µm
s_wstrb[13],38.435µm
net250,38.4µm
net164,38.4µm
s_araddr[8],38.395µm
s_araddr[3],38.375µm
net602,38.36µm
s_wstrb[10],38.325µm
net218,38.32µm
net740,38.27µm
s_rdata[119],38.265µm
s_wdata[1],38.265µm
_0148_,38.24µm
net13,38.22µm
s_araddr[35],38.175µm
m_araddr[1],38.145µm
m_araddr[4],38.145µm
s_wdata[100],38.145µm
s_wdata[16],38.145µm
s_wdata[37],37.955µm
net562,37.8µm
net571,37.8µm
net39,37.63µm
s_awaddr[119],37.57µm
net379,37.5µm
s_araddr[106],37.475µm
s_araddr[11],37.475µm
s_wstrb[5],37.475µm
net38,37.445µm
net74,37.43µm
s_rdata[20],37.415µm
net622,37.32µm
s_rvalid[3],37.175µm
net691,37.14µm
net468,37.09µm
s_rdata[78],37.08µm
s_rdata[85],37.055µm
s_wdata[69],36.995µm
net805,36.97µm
m_araddr[23],36.915µm
net201,36.9µm
net466,36.885µm
net776,36.86µm
net76,36.79µm
net125,36.74µm
net42,36.61µm
s_araddr[9],36.575µm
net21,36.535µm
s_arvalid[2],36.465µm
_0119_,36.32µm
m_awaddr[0],36.24µm
s_rdata[116],36.235µm
s_wdata[115],36.155µm
m_rdata[20],36.095µm
s_araddr[54],36.06µm
s_araddr[123],35.94µm
s_araddr[90],35.82µm
net47,35.815µm
s_arvalid[3],35.76µm
s_awaddr[8],35.76µm
m_araddr[10],35.675µm
s_wdata[6],35.64µm
s_wdata[4],35.625µm
net827,35.61µm
net416,35.59µm
s_wvalid[0],35.555µm
net98,35.53µm
s_awaddr[28],35.445µm
s_arprot[8],35.36µm
_0137_,35.23µm
s_wdata[61],35.195µm
s_araddr[66],35.16µm
net678,35µm
net718,34.965µm
net588,34.92µm
s_awaddr[67],34.905µm
s_araddr[39],34.9µm
s_araddr[109],34.8µm
s_wdata[114],34.8µm
s_wdata[18],34.8µm
s_wdata[50],34.8µm
net234,34.74µm
net664,34.69µm
net16,34.67µm
s_araddr[10],34.595µm
s_rdata[94],34.56µm
s_wready[3],34.545µm
net796,34.39µm
s_wdata[5],34.355µm
net268,34.32µm
net135,34.29µm
net505,34.28µm
s_wdata[65],34.235µm
net802,34.22µm
s_araddr[118],34.2µm
net1,34.195µm
net761,34.11µm
s_wdata[68],33.995µm
net394,33.96µm
s_araddr[69],33.96µm
net642,33.92µm
s_araddr[44],33.84µm
s_araddr[71],33.84µm
net229,33.66µm
s_wdata[79],33.635µm
net113,33.55µm
net627,33.54µm
net377,33.45µm
net587,33.31µm
m_araddr[31],33.275µm
s_rdata[76],33.215µm
s_arprot[3],33.18µm
s_wdata[93],33.155µm
s_wdata[91],33.08µm
net515,33.07µm
net49,32.995µm
net302,32.94µm
s_wdata[39],32.925µm
net816,32.915µm
net435,32.88µm
net833,32.82µm
s_arvalid[0],32.735µm
net75,32.71µm
net186,32.705µm
s_rdata[66],32.7µm
s_wready[1],32.615µm
net814,32.61µm
s_araddr[41],32.495µm
net68,32.46µm
s_awaddr[73],32.39µm
net284,32.34µm
net148,32.34µm
_0048_,32.335µm
net334,32.335µm
s_awaddr[9],32.315µm
_0167_,32.23µm
net400,32.23µm
