u_spi.bit_cnt\[2\],22.66µm
u_spi.tx_shift\[3\],22.375µm
net1,22.32µm
u_boot_ctrl.word_asm\[10\],22.235µm
_0178_,22.21µm
net22,21.79µm
net46,21.73µm
spi_cs_n,21.63µm
net36,21.32µm
_0170_,21.31µm
net35,21.31µm
net44,21.31µm
net40,21.265µm
spi_rx\[4\],21.215µm
_0474_,21.12µm
net41,21.055µm
net62,21µm
net13,20.95µm
u_boot_ctrl.word_asm\[19\],20.945µm
_0497_,20.77µm
u_boot_ctrl.state\[9\],20.65µm
_0487_,20.58µm
u_boot_ctrl.word_asm\[14\],20.58µm
_0180_,20.34µm
_0495_,20.18µm
boot_addr[2],19.95µm
_0321_,19.825µm
boot_addr[6],19.58µm
net10,19.555µm
_0174_,19.45µm
_0306_,19.45µm
boot_wdata[7],19.34µm
u_boot_ctrl.word_asm\[17\],19.08µm
_0171_,19.045µm
net28,18.73µm
net43,18.675µm
net58,18.5µm
net24,18.45µm
u_spi.busy,18.44µm
_0046_,18.3µm
_0382_,18.26µm
net358,18.24µm
net26,18.07µm
net23,17.85µm
spi_rx\[6\],17.785µm
u_boot_ctrl.word_asm\[22\],17.78µm
_0271_,17.76µm
net9,17.54µm
_0213_,17.53µm
net348,17.53µm
net27,17.18µm
boot_addr[10],17.18µm
boot_addr[11],17.18µm
boot_addr[12],17.18µm
boot_addr[13],17.18µm
boot_addr[18],17.18µm
boot_addr[19],17.18µm
boot_addr[3],17.18µm
boot_addr[4],17.18µm
boot_addr[5],17.18µm
boot_addr[7],17.18µm
boot_addr[8],17.18µm
boot_addr[9],17.18µm
boot_done,17.18µm
boot_wdata[1],17.18µm
cpu_rst_n,17.18µm
boot_addr[22],17.1µm
boot_wdata[30],17.1µm
u_boot_ctrl.word_asm\[5\],17.015µm
u_boot_ctrl.word_asm\[16\],16.96µm
u_boot_ctrl.state\[8\],16.94µm
net7,16.795µm
_0342_,16.645µm
net63,16.63µm
u_spi.tx_shift\[4\],16.59µm
