s_axil_wstrb[0],23.7µm
s_axil_awready,23.7µm
net390,23.52µm
gpio_dir[0],23.48µm
net468,23.4µm
gpio_dir[17],23.3µm
s_axil_wdata[7],23.22µm
s_axil_awvalid,23.16µm
s_axil_wdata[14],23.1µm
net163,22.98µm
gpio_dir[3],22.82µm
gpio_dir[5],22.82µm
net462,22.69µm
net62,22.68µm
gpio_in[18],22.46µm
gpio_in[27],22.46µm
net414,22.27µm
_0244_,22.255µm
_0238_,22.22µm
gpio_out[31],22.16µm
s_axil_wdata[10],22.14µm
net439,21.96µm
gpio_in[24],21.86µm
gpio_dir[2],21.86µm
net430,21.86µm
s_axil_wdata[8],21.66µm
net412,21.54µm
net396,21.475µm
net406,21.37µm
net157,21.205µm
_0150_,21.17µm
gpio_out[28],21.08µm
gpio_out[30],21.08µm
gpio_in[30],21.02µm
net404,21µm
net442,21µm
gpio_dir[1],20.9µm
gpio_out[25],20.9µm
gpio_out[27],20.9µm
gpio_out[29],20.9µm
net392,20.9µm
s_axil_wdata[6],20.82µm
s_axil_bready,20.66µm
_0166_,20.52µm
net474,20.52µm
net426,20.46µm
net30,20.3µm
gpio_out[10],20.12µm
gpio_out[12],20.12µm
gpio_out[14],20.12µm
gpio_out[16],20.12µm
gpio_out[18],20.12µm
gpio_out[26],20.12µm
gpio_out[4],20.12µm
gpio_out[6],20.12µm
gpio_out[8],20.12µm
gpio_in[29],20.06µm
net402,20.025µm
gpio_out[24],19.94µm
net413,19.76µm
_0122_,19.75µm
net218,19.57µm
net428,19.51µm
s_axil_rdata[27],19.405µm
gpio_out[11],19.35µm
gpio_out[15],19.35µm
net476,19.23µm
net475,19.21µm
_0239_,19.2µm
net61,19.15µm
net399,19.075µm
gpio_out[13],19.025µm
gpio_out[17],19.025µm
net433,19.02µm
gpio_out[19],18.98µm
gpio_out[23],18.98µm
_0152_,18.97µm
net160,18.91µm
_0003_,18.61µm
net445,18.6µm
s_axil_wdata[5],18.42µm
net385,18.25µm
gpio_in[28],18.14µm
net48,18.13µm
gpio_out[20],18.02µm
gpio_out[21],18.02µm
gpio_out[22],18.02µm
s_axil_wdata[3],17.94µm
net473,17.64µm
net481,17.53µm
s_axil_wdata[1],17.46µm
s_axil_awaddr[2],17.4µm
s_axil_awaddr[3],17.4µm
net60,17.325µm
_0124_,17.3µm
net449,17.16µm
net427,17.11µm
_0044_,17.05µm
net460,17.05µm
net470,17.05µm
_0106_,16.835µm
_0381_,16.75µm
net424,16.69µm
net400,16.58µm
net6,16.33µm
_0123_,16.285µm
net380,16.2µm
_0323_,16.08µm
_0405_,16.08µm
net342,16.08µm
net381,16.04µm
_0414_,15.97µm
_0049_,15.91µm
_0306_,15.73µm
net42,15.715µm
_0062_,15.38µm
_0237_,15.36µm
net394,15.36µm
net69,15.31µm
s_axil_araddr[3],15.205µm
_0248_,15.14µm
net448,15.08µm
_0061_,14.95µm
net471,14.89µm
_0187_,14.88µm
_0051_,14.84µm
_0101_,14.84µm
_0045_,14.77µm
_0264_,14.77µm
_0134_,14.76µm
net276,14.665µm
_0431_,14.59µm
_0263_,14.41µm
_0076_,14.4µm
s_axil_araddr[2],14.365µm
_0183_,14.35µm
_0251_,14.17µm
_0054_,14.025µm
_0005_,13.99µm
_0139_,13.815µm
_0378_,13.795µm
net4,13.75µm
_0036_,13.69µm
_0120_,13.59µm
s_axil_rvalid,13.585µm
net21,13.52µm
_0171_,13.5µm
net452,13.44µm
net411,13.39µm
_0176_,13.33µm
net431,13.32µm
net450,13.315µm
_0283_,13.21µm
_0420_,13.2µm
s_axil_rdata[22],13.165µm
_0433_,12.885µm
_0223_,12.85µm
net466,12.84µm
_0212_,12.73µm
_0348_,12.73µm
_0342_,12.72µm
_0133_,12.705µm
_0058_,12.61µm
net325,12.61µm
_0411_,12.48µm
_0194_,12.37µm
_0068_,12.24µm
_0276_,12.24µm
_0135_,12.145µm
_0038_,12.12µm
net451,12.12µm
_0291_,12.01µm
_0137_,12µm
_0236_,12µm
_0396_,12µm
net465,12µm
net384,11.95µm
s_axil_rdata[28],11.905µm
_0423_,11.89µm
s_axil_rdata[21],11.845µm
_0046_,11.83µm
_0280_,11.815µm
_0282_,11.77µm
_0012_,11.66µm
_0448_,11.61µm
_0001_,11.59µm
_0048_,11.58µm
_0153_,11.535µm
net27,11.53µm
net386,11.53µm
_0382_,11.47µm
_0445_,11.4µm
net335,11.4µm
net480,11.4µm
_0077_,11.29µm
_0102_,11.29µm
_0352_,11.29µm
_0388_,11.29µm
net377,11.29µm
_0155_,11.235µm
net56,11.17µm
_0008_,11.145µm
_0279_,11.145µm
_0043_,11.11µm
_0047_,10.98µm
net373,10.965µm
_0227_,10.93µm
_0287_,10.93µm
_0317_,10.93µm
_0410_,10.93µm
net45,10.93µm
_0292_,10.81µm
net369,10.81µm
_0285_,10.755µm
s_axil_rdata[31],10.595µm
s_axil_rdata[17],10.585µm
s_axil_rdata[23],10.585µm
s_axil_rdata[29],10.585µm
s_axil_rdata[8],10.585µm
_0035_,10.57µm
_0052_,10.57µm
_0059_,10.57µm
_0149_,10.57µm
_0197_,10.57µm
_0200_,10.57µm
_0366_,10.57µm
_0408_,10.56µm
_0162_,10.51µm
_0443_,10.51µm
_0098_,10.45µm
_0372_,10.45µm
_0060_,10.39µm
net477,10.38µm
net169,10.34µm
_0188_,10.33µm
_0255_,10.33µm
_0413_,10.33µm
net319,10.32µm
_0305_,10.21µm
_0233_,10.125µm
_0103_,10.1µm
_0286_,10.09µm
net178,10.09µm
net461,10.09µm
_0230_,10.08µm
net383,10.08µm
net464,10.08µm
_0275_,10.03µm
s_axil_rdata[0],9.985µm
s_axil_rdata[18],9.985µm
s_axil_rdata[24],9.985µm
s_axil_rdata[30],9.985µm
s_axil_rdata[9],9.985µm
_0235_,9.97µm
_0266_,9.97µm
_0344_,9.97µm
_0379_,9.97µm
_0425_,9.97µm
net291,9.97µm
_0203_,9.85µm
_0269_,9.85µm
_0308_,9.85µm
_0389_,9.85µm
_0391_,9.85µm
_0335_,9.84µm
net314,9.84µm
_0206_,9.72µm
_0312_,9.72µm
net379,9.66µm
net437,9.645µm
_0083_,9.61µm
_0185_,9.61µm
_0393_,9.61µm
net423,9.6µm
_0087_,9.55µm
_0357_,9.55µm
_0412_,9.55µm
_0214_,9.49µm
net282,9.36µm
s_axil_rdata[10],9.325µm
s_axil_rdata[19],9.325µm
s_axil_rdata[25],9.325µm
_0392_,9.285µm
_0201_,9.24µm
net65,9.18µm
s_axil_rdata[13],9.145µm
_0325_,9.13µm
_0090_,9.12µm
_0416_,9.12µm
s_axil_rdata[11],9.095µm
s_axil_rdata[20],9.095µm
s_axil_rdata[26],9.095µm
s_axil_rdata[2],9.095µm
_0088_,9.07µm
_0092_,9.07µm
_0030_,9.01µm
_0169_,9µm
_0270_,9µm
net287,9µm
_0179_,8.945µm
net330,8.88µm
net54,8.88µm
_0138_,8.79µm
_0355_,8.78µm
_0444_,8.77µm
_0039_,8.71µm
net64,8.7µm
net277,8.675µm
s_axil_rdata[16],8.675µm
s_axil_rdata[4],8.675µm
s_axil_rdata[7],8.675µm
_0334_,8.65µm
_0363_,8.65µm
_0345_,8.64µm
net435,8.64µm
net456,8.64µm
net469,8.64µm
_0050_,8.625µm
_0369_,8.53µm
net320,8.41µm
net311,8.4µm
_0400_,8.35µm
_0002_,8.28µm
net389,8.23µm
_0136_,8.22µm
net47,8.17µm
_0315_,8.16µm
_0040_,8.11µm
_0057_,8.11µm
_0073_,8.11µm
s_axil_rdata[12],8.065µm
s_axil_rdata[15],8.065µm
s_axil_rdata[6],8.065µm
_0332_,8.05µm
net331,8.05µm
_0086_,7.99µm
_0020_,7.98µm
_0209_,7.93µm
_0403_,7.93µm
_0407_,7.92µm
_0254_,7.87µm
_0215_,7.8µm
net459,7.8µm
_0089_,7.75µm
_0159_,7.74µm
net387,7.74µm
net457,7.74µm
_0019_,7.69µm
_0082_,7.69µm
_0394_,7.69µm
_0440_,7.69µm
_0147_,7.68µm
_0336_,7.68µm
_0417_,7.68µm
_0422_,7.68µm
_0430_,7.68µm
net376,7.68µm
_0032_,7.63µm
rst_ni,7.62µm
_0390_,7.57µm
_0224_,7.56µm
_0174_,7.555µm
_0192_,7.555µm
_0069_,7.51µm
_0258_,7.46µm
_0011_,7.32µm
net299,7.285µm
_0065_,7.27µm
_0066_,7.27µm
_0284_,7.26µm
_0338_,7.26µm
net453,7.26µm
_0376_,7.23µm
_0154_,7.2µm
_0157_,7.2µm
_0225_,7.2µm
_0228_,7.2µm
_0318_,7.2µm
net285,7.2µm
net293,7.2µm
net294,7.2µm
net296,7.2µm
net321,7.2µm
net327,7.2µm
net337,7.2µm
net348,7.2µm
net368,7.2µm
net467,7.2µm
_0081_,7.15µm
net338,7.135µm
_0387_,7.08µm
net346,7.08µm
net357,7.08µm
_0221_,6.98µm
_0252_,6.98µm
_0436_,6.98µm
net440,6.98µm
net479,6.98µm
_0168_,6.97µm
_0339_,6.97µm
net12,6.97µm
_0304_,6.91µm
_0319_,6.91µm
_0328_,6.885µm
net418,6.84µm
s_axil_arvalid,6.805µm
s_axil_arready,6.805µm
s_axil_rdata[14],6.805µm
s_axil_rdata[5],6.805µm
_0053_,6.79µm
_0064_,6.79µm
_0095_,6.79µm
_0017_,6.78µm
_0341_,6.78µm
_0347_,6.78µm
_0419_,6.78µm
_0435_,6.78µm
net478,6.78µm
s_axil_rdata[1],6.755µm
s_axil_rdata[3],6.755µm
_0331_,6.73µm
_0373_,6.73µm
_0301_,6.6µm
_0364_,6.6µm
net329,6.6µm
net15,6.57µm
_0358_,6.5µm
_0193_,6.49µm
net1,6.49µm
_0170_,6.445µm
_0096_,6.42µm
_0042_,6.31µm
_0063_,6.31µm
_0071_,6.31µm
_0310_,6.3µm
net51,6.3µm
_0250_,6.25µm
_0356_,6.25µm
net59,6.24µm
_0029_,6.19µm
net310,6.12µm
_0361_,6.115µm
_0307_,6.06µm
net405,6.06µm
_0074_,6.02µm
_0167_,6.02µm
_0173_,6.02µm
_0191_,6.02µm
_0242_,6.02µm
_0277_,6.02µm
_0289_,6.02µm
_0240_,6.01µm
_0309_,6.01µm
_0434_,6.01µm
_0320_,5.985µm
_0004_,5.98µm
_0014_,5.95µm
_0016_,5.95µm
_0156_,5.95µm
_0303_,5.95µm
_0294_,5.82µm
_0438_,5.82µm
_0354_,5.77µm
_0380_,5.77µm
_0418_,5.77µm
_0421_,5.77µm
_0024_,5.71µm
_0075_,5.71µm
_0143_,5.71µm
_0177_,5.71µm
_0216_,5.71µm
_0300_,5.71µm
_0362_,5.71µm
_0428_,5.71µm
_0272_,5.64µm
_0402_,5.64µm
_0009_,5.635µm
_0367_,5.54µm
net438,5.54µm
_0007_,5.53µm
_0010_,5.53µm
_0015_,5.53µm
_0026_,5.53µm
_0031_,5.53µm
_0078_,5.53µm
_0079_,5.53µm
_0148_,5.53µm
_0232_,5.53µm
_0006_,5.35µm
net441,5.35µm
_0268_,5.34µm
_0322_,5.29µm
_0404_,5.29µm
net303,5.28µm
net355,5.28µm
_0260_,5.23µm
_0401_,5.16µm
net295,5.16µm
_0298_,5.06µm
_0398_,5.06µm
_0257_,5.05µm
_0018_,4.99µm
_0293_,4.99µm
_0037_,4.98µm
_0243_,4.98µm
_0198_,4.92µm
_0406_,4.92µm
_0067_,4.86µm
_0353_,4.86µm
_0377_,4.81µm
net333,4.8µm
net344,4.8µm
_0311_,4.68µm
_0442_,4.68µm
net283,4.68µm
net284,4.68µm
net292,4.68µm
net302,4.68µm
net305,4.68µm
net308,4.68µm
net309,4.68µm
net315,4.68µm
net316,4.68µm
net318,4.68µm
net322,4.68µm
net328,4.68µm
net334,4.68µm
net336,4.68µm
net340,4.68µm
net341,4.68µm
net345,4.68µm
net349,4.68µm
net351,4.68µm
net365,4.68µm
net367,4.68µm
net371,4.68µm
net374,4.68µm
net378,4.68µm
_0041_,4.63µm
_0218_,4.58µm
net472,4.58µm
_0022_,4.57µm
_0316_,4.57µm
_0409_,4.57µm
_0437_,4.57µm
net324,4.56µm
net403,4.5µm
_0278_,4.44µm
_0415_,4.44µm
net463,4.44µm
_0028_,4.38µm
_0326_,4.38µm
net398,4.38µm
net443,4.38µm
_0375_,4.33µm
_0140_,4.32µm
_0184_,4.32µm
net289,4.32µm
net298,4.32µm
net301,4.32µm
net347,4.32µm
net364,4.32µm
net278,4.32µm
net297,4.2µm
net317,4.2µm
_0350_,4.125µm
net361,4.11µm
_0070_,4.09µm
_0337_,4.09µm
net323,4.09µm
net339,4.09µm
_0346_,4.04µm
_0080_,3.96µm
_0386_,3.96µm
_0426_,3.96µm
_0446_,3.96µm
_0025_,3.9µm
_0027_,3.9µm
_0033_,3.9µm
_0204_,3.9µm
_0360_,3.9µm
_0432_,3.9µm
net382,3.9µm
net416,3.9µm
_0100_,3.85µm
net458,3.85µm
net279,3.84µm
net280,3.84µm
net281,3.84µm
net286,3.84µm
net288,3.84µm
net290,3.84µm
net300,3.84µm
net304,3.84µm
net306,3.84µm
net307,3.84µm
net313,3.84µm
net326,3.84µm
net332,3.84µm
net350,3.84µm
net352,3.84µm
net353,3.84µm
net354,3.84µm
net356,3.84µm
net358,3.84µm
net360,3.84µm
net362,3.84µm
net363,3.84µm
net366,3.84µm
net372,3.84µm
net375,3.84µm
net359,3.72µm
_0158_,3.62µm
_0195_,3.61µm
_0262_,3.61µm
_0265_,3.61µm
_0296_,3.6µm
_0343_,3.6µm
_0210_,3.55µm
net393,3.54µm
net395,3.54µm
_0314_,3.48µm
_0351_,3.48µm
net397,3.48µm
_0013_,3.42µm
_0093_,3.42µm
_0365_,3.42µm
_0371_,3.42µm
_0384_,3.42µm
_0429_,3.42µm
net50,3.42µm
net312,3.36µm
net343,3.36µm
net370,3.36µm
_0161_,3.27µm
_0207_,3.235µm
_0219_,3.235µm
_0327_,3.235µm
_0302_,3.14µm
_0330_,3.14µm
_0427_,3.13µm
_0180_,3.07µm
_0055_,3.06µm
_0091_,3.06µm
net391,3.06µm
net401,3.06µm
_0165_,3µm
_0189_,3µm
_0290_,3µm
_0359_,3µm
_0370_,3µm
_0447_,3µm
_0085_,2.94µm
_0256_,2.94µm
_0313_,2.94µm
net53,2.94µm
net55,2.94µm
net57,2.94µm
net58,2.94µm
net434,2.94µm
net436,2.94µm
net49,2.875µm
_0385_,2.76µm
_0097_,2.745µm
_0222_,2.7µm
_0439_,2.66µm
net446,2.66µm
_0021_,2.65µm
_0000_,2.58µm
_0034_,2.58µm
_0295_,2.52µm
_0383_,2.52µm
_0397_,2.52µm
_0395_,2.465µm
_0084_,2.28µm
_0072_,2.275µm
_0321_,2.22µm
_0023_,2.17µm
_0099_,2.1µm
net407,2.1µm
net425,2.1µm
net432,2.1µm
net444,2.1µm
_0056_,1.8µm
_0094_,1.8µm
_0247_,1.8µm
_0253_,1.8µm
_0259_,1.8µm
_0271_,1.8µm
_0281_,1.8µm
_0340_,1.8µm
_0368_,1.8µm
_0441_,1.8µm
net40,1.8µm
_0164_,1.7µm
net447,1.7µm
_0182_,1.675µm
_0449_,0.96µm
net454,0.96µm
