gpio_in[10],22.88µm
gpio_in[14],22.88µm
gpio_in[16],22.88µm
gpio_in[18],22.88µm
gpio_dir[3],22.82µm
gpio_dir[7],22.82µm
gpio_dir[9],22.82µm
net62,22.68µm
net414,22.47µm
gpio_in[11],22.4µm
gpio_in[20],22.4µm
s_axil_wdata[10],22.14µm
gpio_dir[4],22.04µm
gpio_dir[6],22.04µm
gpio_in[4],21.92µm
gpio_dir[2],21.905µm
net391,21.895µm
s_axil_wdata[8],21.66µm
gpio_in[21],21.44µm
gpio_out[25],21.27µm
net157,21.205µm
net15,21.09µm
gpio_out[0],21.08µm
gpio_out[12],21.08µm
gpio_out[28],21.08µm
gpio_out[30],21.08µm
net381,21µm
net394,21µm
gpio_in[24],20.96µm
gpio_in[26],20.96µm
gpio_in[28],20.96µm
gpio_in[30],20.96µm
gpio_dir[1],20.9µm
gpio_out[27],20.9µm
gpio_out[29],20.9µm
gpio_out[31],20.9µm
s_axil_wdata[6],20.82µm
net426,20.52µm
gpio_in[22],20.48µm
gpio_in[23],20.48µm
gpio_dir[0],20.12µm
gpio_out[10],20.12µm
gpio_out[14],20.12µm
gpio_out[16],20.12µm
gpio_out[18],20.12µm
gpio_out[26],20.12µm
gpio_out[2],20.12µm
gpio_out[4],20.12µm
gpio_out[6],20.12µm
gpio_out[8],20.12µm
net223,20.04µm
gpio_out[24],19.94µm
s_axil_bready,19.82µm
_0122_,19.75µm
gpio_in[25],19.52µm
gpio_in[27],19.52µm
gpio_in[29],19.52µm
gpio_in[31],19.52µm
gpio_out[15],19.35µm
gpio_out[19],19.35µm
gpio_out[3],19.35µm
gpio_out[9],19.35µm
net61,19.15µm
gpio_out[17],19.025µm
gpio_out[5],19.025µm
_0134_,19.02µm
net385,18.99µm
gpio_out[11],18.98µm
gpio_out[13],18.98µm
gpio_out[23],18.98µm
gpio_out[7],18.98µm
net425,18.97µm
net160,18.91µm
_0414_,18.85µm
net397,18.6µm
net428,18.49µm
s_axil_wdata[5],18.42µm
net48,18.13µm
gpio_out[20],18.02µm
gpio_out[21],18.02µm
gpio_out[22],18.02µm
s_axil_wdata[3],17.94µm
_0106_,17.81µm
net433,17.53µm
net29,17.48µm
s_axil_wdata[1],17.46µm
s_axil_awaddr[2],17.4µm
s_axil_awaddr[3],17.4µm
_0124_,17.3µm
gpio_out[1],17.3µm
net28,17.28µm
net60,17.235µm
net22,17.22µm
net26,17.17µm
net401,17.16µm
net412,17.05µm
_0003_,16.69µm
net422,16.68µm
_0044_,16.665µm
net42,16.505µm
_0237_,16.21µm
_0323_,16.08µm
_0405_,16.08µm
net342,16.08µm
_0123_,16.035µm
_0049_,15.91µm
s_axil_rdata[27],15.625µm
_0279_,15.525µm
net30,15.42µm
_0062_,15.38µm
_0381_,15.31µm
net69,15.31µm
net1,15.23µm
net218,15.17µm
_0248_,15.14µm
_0061_,14.95µm
_0101_,14.84µm
net65,14.82µm
_0045_,14.77µm
_0264_,14.77µm
net400,14.755µm
_0431_,14.59µm
net423,14.565µm
_0076_,14.4µm
_0185_,14.4µm
s_axil_araddr[2],14.365µm
net23,14.29µm
_0157_,14.28µm
_0170_,14.23µm
_0378_,14.12µm
