net,length_um
clknet_leaf_54_clk_i,194.47µm
net798,194.435µm
_05061_,194.4µm
net612,194.39µm
net1172,194.3µm
clknet_leaf_91_clk_i,194.235µm
u_picorv32.pcpi_rs2\[0\],194.155µm
net874,194.065µm
net762,193.79µm
net287,193.75µm
_05415_,193.605µm
net322,193.47µm
clknet_leaf_18_clk_i,193.23µm
net990,193.025µm
_01962_,192.4µm
_05352_,192.4µm
net659,192.155µm
_04998_,192.07µm
net1452,192µm
_05384_,191.95µm
net885,191.91µm
clknet_leaf_78_clk_i,191.685µm
u_picorv32.picorv32_core.decoded_imm\[5\],191.665µm
clknet_leaf_11_clk_i,191.6µm
net1120,191.535µm
_05203_,191.43µm
net1029,191.41µm
net829,191.305µm
net3179,191.23µm
net1251,190.825µm
net1475,190.815µm
u_picorv32.picorv32_core.reg_pc\[13\],190.235µm
u_picorv32.picorv32_core.reg_out\[19\],190µm
u_picorv32.picorv32_core.instr_ori,189.985µm
net1473,189.93µm
_04064_,189.85µm
clknet_5_13__leaf_clk_i,189.695µm
clknet_leaf_3_clk_i,189.6µm
_05332_,189.54µm
net1231,189.2µm
net1366,189.055µm
net721,188.65µm
u_picorv32.picorv32_core.latched_rd\[1\],188.61µm
clknet_5_7__leaf_clk_i,188.6µm
_02899_,188.52µm
clknet_5_19__leaf_clk_i,188.47µm
net1396,188.24µm
u_picorv32.picorv32_core.count_cycle\[61\],188.19µm
clknet_leaf_86_clk_i,188.13µm
net768,188.045µm
net925,188.025µm
clknet_leaf_121_clk_i,188.025µm
net1400,187.98µm
clknet_5_22__leaf_clk_i,187.93µm
net998,187.5µm
net1135,187.465µm
net1372,187.395µm
clknet_leaf_112_clk_i,187.25µm
net670,186.98µm
u_picorv32.picorv32_core.reg_pc\[6\],186.935µm
net542,186.82µm
u_picorv32.picorv32_core.latched_is_lb,186.785µm
net903,186.73µm
net630,186.7µm
_05373_,186.61µm
clknet_5_21__leaf_clk_i,186.505µm
clknet_leaf_123_clk_i,186.425µm
net717,186.095µm
clknet_leaf_129_clk_i,186.08µm
net677,185.96µm
net347,185.95µm
_01967_,185.925µm
net942,185.85µm
net217,185.49µm
net1344,185.245µm
clknet_leaf_51_clk_i,185.115µm
net1469,185.06µm
net608,184.88µm
clknet_leaf_90_clk_i,184.795µm
net1451,184.415µm
net1015,184.26µm
u_picorv32.pcpi_rs1\[1\],184.21µm
net736,183.81µm
_02990_,183.715µm
u_picorv32.picorv32_core.reg_pc\[19\],183.3µm
net1117,183.3µm
net1044,183.27µm
_05087_,183.26µm
clknet_leaf_108_clk_i,183.075µm
net571,183.065µm
clknet_leaf_125_clk_i,183.06µm
_05345_,182.88µm
u_picorv32.pcpi_rs2\[8\],182.595µm
clknet_leaf_76_clk_i,182.595µm
net1146,182.56µm
u_picorv32.pcpi_rs1\[28\],182.23µm
_05466_,182.1µm
net1302,181.98µm
clknet_leaf_117_clk_i,181.95µm
_01919_,181.78µm
_05048_,181.75µm
u_picorv32.picorv32_core.reg_pc\[30\],181.59µm
_04672_,181.535µm
net888,181.465µm
_01931_,181.04µm
