net,length_um
net603,39.12µm
net118,38.58µm
net326,38.31µm
sram_wen,37.86µm
net518,37.86µm
net117,37.62µm
net291,37.35µm
_123_,37.32µm
net355,37.32µm
sram_din\[28\],36.84µm
_131_,36.705µm
net588,36.25µm
net582,36.19µm
net515,36.14µm
net327,36.03µm
net585,35.95µm
net388,35.53µm
net250,35.41µm
net591,35.29µm
net345,35.16µm
net134,34.74µm
_144_,34.63µm
net195,34.075µm
_247_,34.02µm
net325,34.02µm
net359,33.78µm
_179_,33.3µm
net,33.27µm
net144,33.06µm
net136,32.94µm
_266_,32.58µm
net514,32.36µm
net481,32.325µm
_114_,32.11µm
sram_din\[18\],32.05µm
net475,31.8µm
net600,31.8µm
net324,31.72µm
net560,31.5µm
net75,31.44µm
_187_,31.38µm
_168_,31.26µm
sram_din\[29\],31.075µm
net513,30.85µm
net329,30.805µm
net370,30.745µm
net472,30.66µm
net407,30.57µm
net124,30.54µm
_170_,30.42µm
_175_,29.94µm
net131,29.94µm
net441,29.94µm
net478,29.88µm
_249_,29.865µm
net509,29.775µm
net416,29.77µm
net579,29.77µm
_242_,29.76µm
net421,29.645µm
_140_,29.62µm
net135,29.58µm
net139,29.58µm
_162_,29.46µm
net477,29.46µm
_330_,29.34µm
net255,29.31µm
net449,29.3µm
net511,29.11µm
_255_,29.05µm
_282_,28.98µm
_246_,28.92µm
sram_bm\[24\],28.87µm
net252,28.44µm
sram_dout\[1\],28.28µm
_253_,28.27µm
_329_,28.26µm
net517,28.1µm
net376,28.005µm
net256,27.99µm
net358,27.865µm
sram_men,27.81µm
net143,27.705µm
_156_,27.66µm
net484,27.62µm
_164_,27.6µm
net343,27.54µm
_160_,27.48µm
_152_,27.31µm
net401,27.18µm
_122_,27.08µm
net414,27.06µm
net121,26.7µm
_181_,26.64µm
net387,26.52µm
_125_,26.43µm
_274_,25.98µm
_230_,25.78µm
_284_,25.57µm
net351,25.47µm
_251_,25.39µm
boot_wdata[10],25.37µm
boot_wdata[13],25.37µm
boot_wdata[16],25.37µm
boot_wdata[1],25.37µm
boot_wdata[22],25.37µm
boot_wdata[25],25.37µm
boot_wdata[4],25.37µm
boot_wdata[7],25.37µm
net74,25.32µm
net127,25.26µm
_009_,25.22µm
_173_,25.2µm
net285,25.155µm
net398,25.15µm
net468,25.105µm
net251,24.78µm
net352,24.72µm
boot_wdata[0],24.52µm
boot_wdata[11],24.52µm
boot_wdata[12],24.52µm
boot_wdata[14],24.52µm
boot_wdata[15],24.52µm
boot_wdata[17],24.52µm
boot_wdata[18],24.52µm
boot_wdata[20],24.52µm
boot_wdata[21],24.52µm
boot_wdata[23],24.52µm
boot_wdata[24],24.52µm
boot_wdata[2],24.52µm
boot_wdata[3],24.52µm
boot_wdata[5],24.52µm
boot_wdata[6],24.52µm
boot_wdata[8],24.52µm
boot_wdata[9],24.52µm
sram_din\[30\],24.36µm
aw_pending_q,24.27µm
net397,24.225µm
net395,24.19µm
net424,24.19µm
boot_wdata[19],24.15µm
boot_wdata[26],24.15µm
boot_wdata[27],24.15µm
boot_wdata[28],24.15µm
boot_wdata[29],24.15µm
boot_wdata[30],24.15µm
boot_wdata[31],24.15µm
_226_,23.94µm
net466,23.83µm
net505,23.825µm
_193_,23.82µm
_209_,23.77µm
net447,23.71µm
s_axil_awaddr[28],23.66µm
net88,23.625µm
clknet_1_0__leaf_clk_i,23.58µm
net286,23.55µm
sram_din\[31\],23.53µm
_124_,23.335µm
net317,23.32µm
net483,23.28µm
net400,23.245µm
_317_,23.16µm
_183_,23.1µm
net460,22.99µm
net409,22.93µm
wdata_q\[17\],22.8µm
net457,22.8µm
_191_,22.75µm
_007_,22.74µm
net507,22.69µm
s_axil_araddr[9],22.64µm
net254,22.59µm
_292_,22.485µm
_008_,22.43µm
net46,22.26µm
net357,22.26µm
net253,22.11µm
net116,22.02µm
_177_,21.9µm
_229_,21.73µm
s_axil_araddr[3],21.56µm
net469,21.55µm
net443,21.54µm
net323,21.52µm
net341,21.51µm
_280_,21.42µm
_290_,21.37µm
net347,21.27µm
_115_,21.25µm
_132_,21.24µm
net382,21.21µm
net412,21.01µm
s_axil_awaddr[24],20.82µm
net437,20.78µm
_121_,20.76µm
s_axil_araddr[16],20.76µm
boot_addr[10],20.73µm
boot_addr[11],20.73µm
boot_addr[2],20.73µm
boot_addr[3],20.73µm
boot_addr[4],20.73µm
boot_addr[5],20.73µm
boot_addr[6],20.73µm
boot_addr[7],20.73µm
boot_addr[8],20.73µm
boot_addr[9],20.73µm
net411,20.7µm
s_axil_araddr[27],20.6µm
s_axil_wdata[24],20.6µm
_148_,20.59µm
_117_,20.555µm
net474,20.4µm
net361,20.29µm
